lyric,album
"I don't think you do, I don't think you do",speak now
Let's hear the applause,speak now
C'mon show me how much better you are,speak now
See you deserve some applause,speak now
'Cause you're so much better,speak now
She took him faster than you can say sabotage,speak now
"Betty, I won't make assumptions about why you switched your homeroom",folklore
But I think it's 'cause of me,folklore
"Betty, one time I was riding on my skateboard when I passed your house",folklore
It's like I couldn't breathe,folklore
You heard the rumors from Inez,folklore
You can't believe a word she says,folklore
"Most times, but this time it was true",folklore
The worst thing that I ever did,folklore
Was what I did to you,folklore
But if I just showed up at your party,folklore
Would you have me?,folklore
Would you want me?,folklore
Would you tell me to go fuck myself,folklore
Or lead me to the garden?,folklore
In the garden would you trust me,folklore
If I told you it was just a summer thing?,folklore
I'm only seventeen,folklore
I don't know anything but I know I miss you,folklore
"Betty, I know where it all went wrong",folklore
Your favorite song was playing from the far side of the gym,folklore
"I was nowhere to be found, I hate the crowds, you know that",folklore
"Plus, I saw you dance with him",folklore
You heard the rumors from Inez,folklore
You can't believe a word she says,folklore
"Most times, but this time it was true",folklore
The worst thing that I ever did,folklore
Was what I did to you,folklore
But if I just showed up at your party,folklore
Would you have me?,folklore
Would you want me?,folklore
Would you tell me to go fuck myself,folklore
Or lead me to the garden?,folklore
In the garden would you trust me,folklore
If I told you it was just a summer thing?,folklore
I'm only seventeen,folklore
I don't know anything but I know I miss you,folklore
I was walking home on broken cobblestones,folklore
Just thinking of you when she pulled up,folklore
Like a figment of my worst intentions,folklore
"She said ""James, get in, let's drive""",folklore
Those days turned into nights,folklore
Slept next to her but,folklore
I dreamt of you all summer long,folklore
"Betty, I'm here on your doorstep",folklore
"And I planned it out for weeks now but, it's finally sinking in",folklore
"Betty, right now is the last time",folklore
I can dream about what happens when you see my face again,folklore
The only thing I wanna do,folklore
Is make it up to you,folklore
"So, I showed up at your party",folklore
"Yeah, I showed up at your party",folklore
"Yeah, I showed up at your party",folklore
Will you have me?,folklore
Will you love me?,folklore
Will you kiss me on the porch in front of all your stupid friends?,folklore
If you kiss me,folklore
Will it be just like I dreamed it? Will it patch your broken wings?,folklore
I'm only seventeen,folklore
I don't know anything,folklore
But I know I miss you,folklore
Standing in your cardigan,folklore
Kissing in my car again,folklore
"Stopped at a streetlight, you know I miss you",folklore
"Betty, I won't make assumptions",folklore
About why you switched your homeroom but,folklore
I think it's 'cause of me,folklore
"Betty, one time I was riding on my skateboard",folklore
When I passed your house,folklore
It's like I couldn't breathe,folklore
You heard the rumors from Inez,folklore
You can't believe a word she says,folklore
"Most times, but this time it was true",folklore
The worst thing that I ever did,folklore
Was what I did to you,folklore
But if I just showed up at your party,folklore
Would you have me?,folklore
Would you want me?,folklore
Would you tell me to go straight to hell?,folklore
Or lead me to the garden?,folklore
In the garden would you trust me,folklore
If I told you it was just a summer thing?,folklore
"I'm only 17, I don't know anything",folklore
But I know I miss you,folklore
"Betty, I know where it all went wrong",folklore
Your favorite song was playing,folklore
From the far side of the gym,folklore
I was nowhere to be found,folklore
"I hate the crowds, you know that",folklore
"Plus, I saw you dance with him",folklore
You heard the rumors from Inez,folklore
You can't believe a word she says,folklore
"Most times, but this time it was true",folklore
The worst thing that I ever did,folklore
Was what I did to you,folklore
But if I just showed up at your party,folklore
Would you have me?,folklore
Would you want me?,folklore
Would you tell me to go straight to hell?,folklore
Or lead me to the garden?,folklore
In the garden would you trust me,folklore
If I told you it was just a summer thing?,folklore
"I'm only seventeen, I don't know anything",folklore
But I know I miss you,folklore
I was walking home on broken cobblestones,folklore
Just thinking of you when she pulled up like,folklore
A figment of my worst intentions,folklore
"She said ""James, get in, let's drive""",folklore
Those days turned into nights,folklore
"Slept next to her, but",folklore
I dreamt of you all summer long,folklore
"Betty, I'm here on your doorstep",folklore
And I planned it out for weeks now,folklore
But it's finally sinkin' in,folklore
"Betty, right now is the last time",folklore
I can dream about what happens when,folklore
You see my face again,folklore
The only thing I wanna do,folklore
Is make it up to you,folklore
So I showed up at your party,folklore
"Yeah, I showed up at your party",folklore
"Yeah, I showed up at your party",folklore
Will you have me?,folklore
Will you love me?,folklore
Will you kiss me on the porch,folklore
In front of all your stupid friends?,folklore
"If you kiss me, will it be just like I dreamed it?",folklore
Will it patch your broken wings?,folklore
"I'm only 17, I don't know anything",folklore
But I know I miss you,folklore
Standing in your cardigan,folklore
Kissin' in my car again,folklore
Stopped at a streetlight,folklore
You know I miss you,folklore
"Nice to meet you, where you been?",1989
I could show you incredible things,1989
"Magic, madness, heaven, sin",1989
Saw you there and I thought,1989
"""Oh, my God, look at that face!""",1989
You look like my next mistake,1989
"Love's a game, wanna play?",1989
"New money, suit and tie",1989
I can read you like a magazine,1989
Ain't it funny? Rumors fly,1989
And I know you heard about me,1989
"So hey, let's be friends",1989
I'm dying to see how this one ends,1989
Grab your passport and my hand,1989
I can make the bad guys good for a weekend,1989
So it's gonna be forever,1989
Or it's gonna go down in flames,1989
You can tell me when it's over,1989
If the high was worth the pain,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
'Cause you know I love the players,1989
And you love the game,1989
'Cause we're young and we're reckless,1989
We'll take this way too far,1989
It'll leave you breathless,1989
Or with a nasty scar,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
"But I've got a blank space, baby",1989
And I'll write your name,1989
"Cherry lips, crystal skies",1989
I could show you incredible things,1989
"Stolen kisses, pretty lies",1989
"You're the King, baby, I'm your Queen",1989
Find out what you want,1989
Be that girl for a month,1989
"Wait, the worst is yet to come, oh no",1989
"Screaming, crying, perfect storms",1989
I can make all the tables turn,1989
Rose garden filled with thorns,1989
Keep you second guessing like,1989
"""Oh, my God, who is she?""",1989
I get drunk on jealousy,1989
But you'll come back each time you leave,1989
"'Cause, darling, I'm a nightmare dressed like a daydream",1989
So it's gonna be forever,1989
Or it's gonna go down in flames,1989
You can tell me when it's over,1989
If the high was worth the pain,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
'Cause you know I love the players,1989
And you love the game,1989
'Cause we're young and we're reckless,1989
We'll take this way too far,1989
It'll leave you breathless,1989
Or with a nasty scar,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
"But I've got a blank space, baby",1989
And I'll write your name,1989
Boys only want love if it's torture,1989
"Don't say I didn't say, I didn't warn ya",1989
Boys only want love if it's torture,1989
"Don't say I didn't say, I didn't warn ya",1989
So it's gonna be forever,1989
Or it's gonna go down in flames,1989
You can tell me when it's over,1989
If the high was worth the pain,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
'Cause you know I love the players,1989
And you love the game,1989
'Cause we're young and we're reckless,1989
We'll take this way too far,1989
It'll leave you breathless,1989
Or with a nasty scar,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
"But I've got a blank space, baby",1989
And I'll write your name,1989
"Nice to meet you, where you been?",1989
I could show you incredible things,1989
"Magic, madness, heaven, sin",1989
Saw you there and I thought,1989
"""Oh, my God, look at that face!""",1989
You look like my next mistake,1989
"Love's a game, wanna play?",1989
"New money, suit and tie",1989
I can read you like a magazine,1989
Ain't it funny? Rumors fly,1989
And I know you heard about me,1989
"So hey, let's be friends",1989
I'm dying to see how this one ends,1989
Grab your passport and my hand,1989
I can make the bad guys good for a weekend,1989
So it's gonna be forever,1989
Or it's gonna go down in flames,1989
You can tell me when it's over,1989
If the high was worth the pain,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
'Cause you know I love the players,1989
And you love the game,1989
'Cause we're young and we're reckless,1989
We'll take this way too far,1989
It'll leave you breathless,1989
Or with a nasty scar,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
"But I've got a blank space, baby",1989
And I'll write your name,1989
"Cherry lips, crystal skies",1989
I could show you incredible things,1989
"Stolen kisses, pretty lies",1989
"You're the King, baby, I'm your Queen",1989
Find out what you want,1989
Be that girl for a month,1989
"Wait, the worst is yet to come, oh no",1989
"Screaming, crying, perfect storms",1989
I can make all the tables turn,1989
Rose garden filled with thorns,1989
Keep you second guessing like,1989
"""Oh, my God, who is she?""",1989
I get drunk on jealousy,1989
But you'll come back each time you leave,1989
"'Cause, darling, I'm a nightmare dressed like a daydream",1989
So it's gonna be forever,1989
Or it's gonna go down in flames,1989
You can tell me when it's over,1989
If the high was worth the pain,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
'Cause you know I love the players,1989
And you love the game,1989
'Cause we're young and we're reckless,1989
We'll take this way too far,1989
It'll leave you breathless,1989
Or with a nasty scar,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
"But I've got a blank space, baby",1989
And I'll write your name,1989
Boys only want love if it's torture,1989
"Don't say I didn't say, I didn't warn ya",1989
Boys only want love if it's torture,1989
"Don't say I didn't say, I didn't warn ya",1989
So it's gonna be forever,1989
Or it's gonna go down in flames,1989
You can tell me when it's over,1989
If the high was worth the pain,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
'Cause you know I love the players,1989
And you love the game,1989
'Cause we're young and we're reckless,1989
We'll take this way too far,1989
It'll leave you breathless,1989
Or with a nasty scar,1989
Got a long list of ex-lovers,1989
They'll tell you I'm insane,1989
"But I've got a blank space, baby",1989
And I'll write your name,1989
I see your face in my mind as I drive away,fearless
'Cause none of us thought it was gonna end that way,fearless
People are people and sometimes we change our minds,fearless
But it's killing me to see you go after all this time,fearless
"Mmm, mmm, mmm, mmm, mmm, mmm, mmm, mmm",fearless
"Mmm, mmm, mmm, mmm, mmm, mmm, mmm, mmm",fearless
Music starts playin' like the end of a sad movie,fearless
It's the kinda ending you don't really wanna see,fearless
'Cause it's tragedy and it'll only bring you down,fearless
Now I don't know what to be without you around,fearless
"And we know it's never simple, never easy",fearless
"Never a clean break, no one here to save me",fearless
You're the only thing I know like the back of my hand,fearless
And I can't breathe,fearless
"Without you, but I have to",fearless
Breathe,fearless
"Without you, but I have to do",fearless
"Never wanted this, never want to see you hurt",fearless
Every little bump in the road I tried to swerve,fearless
People are people and sometimes it doesn't work out,fearless
Nothing we say is gonna save us from the fall out,fearless
"And we know it's never simple, never easy",fearless
"Never a clean break, no one here to save me",fearless
You're the only thing I know like the back of my hand,fearless
And I can't breathe,fearless
"Without you, but I have to",fearless
Breathe,fearless
"Without you, but I have to do",fearless
"It's two a.m., feelin' like I just lost a friend",fearless
"Hope you know it's not easy, easy for me",fearless
"It's two a.m., feelin' like I just lost a friend",fearless
"Hope you know this ain't easy, easy for me",fearless
"And we know it's never simple, never easy",fearless
"Never a clean break, no one here to save me, oh",fearless
I can't breathe,fearless
"Without you, but I have to",fearless
Breathe,fearless
"Without you, but I have to",fearless
Breathe,fearless
"Without you, but I have to do",fearless
"I'm sorry, I'm sorry, I'm sorry",fearless
"I'm sorry, I'm sorry, I'm sorry, I'm sorry",fearless
My castle crumbled overnight,reputation
I brought a knife to a gunfight,reputation
"They took the crown, but it's alright",reputation
All the liars are calling me one,reputation
Nobody's heard from me for months,reputation
"I'm doing better than I ever was, 'cause",reputation
My baby's fit like a daydream,reputation
Walking with his head down,reputation
I'm the one he's walking to,reputation
"So call it what you want, yeah, call it what you want to",reputation
My baby's fly like a jet stream,reputation
High above the whole scene,reputation
Loves me like I'm brand new,reputation
"So call it what you want, yeah, call it what you want to",reputation
All my flowers grew back as thorns,reputation
Windows boarded up after the storm,reputation
He built a fire just to keep me warm,reputation
All the drama queens taking swings,reputation
All the jokers dressin' up as kings,reputation
They fade to nothing when I look at him,reputation
And I know I make the same mistakes every time,reputation
"Bridges burn, I never learn, at least I did one thing right",reputation
I did one thing right,reputation
"I'm laughing with my lover, making forts under covers",reputation
"Trust him like a brother, yeah, you know I did one thing right",reputation
Starry eyes sparkin' up my darkest night,reputation
My baby's fit like a daydream,reputation
Walking with his head down,reputation
I'm the one he's walking to,reputation
"So call it what you want, yeah, call it what you want to",reputation
My baby's fly like a jet stream,reputation
High above the whole scene,reputation
Loves me like I'm brand new,reputation
"(Call it what you want, call it what you want, call it)",reputation
"So call it what you want, yeah, call it what you want to",reputation
I want to wear his initial,reputation
"On a chain round my neck, chain round my neck",reputation
Not because he owns me,reputation
But 'cause he really knows me,reputation
"Which is more than they can say, I",reputation
"I recall late November, holdin' my breath",reputation
"Slowly I said, ""You don't need to save me",reputation
"But would you run away with me?""",reputation
Yes (would you run away?),reputation
My baby's fit like a daydream,reputation
Walking with his head down,reputation
I'm the one he's walking to,reputation
"(Call it what you want, call it what you want, call it)",reputation
"So call it what you want, yeah, call it what you want to",reputation
My baby's fly like a jet stream,reputation
High above the whole scene,reputation
Loves me like I'm brand new,reputation
"(Call it what you want, call it what you want, call it)",reputation
"So call it what you want, yeah, call it what you want to",reputation
"(Call it what you want, call it)",reputation
"(Call it what you want, call it what you want, call it)",reputation
"(Call it what you want, call it what you want, call it)",reputation
"(Call it what you want, call it what you want, call it)",reputation
"(Call it what you want, call it what you want, call it)",reputation
"(Call it what you want, call it what you want, call it)",reputation
"(Call it what you want, call it what you want, call it)",reputation
"Call it what you want, yeah",reputation
Call it what you want,reputation
Once upon a time a few mistakes ago,red
"I was in your sights, you got me alone",red
"You found me, you found me, you bound me",red
"I guess you didn't care, and I guess I liked that",red
And when I fell hard you took a step back,red
"Without me, without me, without me",red
And he's long gone when he's next to me,red
And I realize the blame is on me,red
'Cause I knew you were trouble when you walked in,red
So shame on me now,red
Flew me to places I'd never been,red
"'Til you put me down, oh",red
I knew you were trouble when you walked in,red
So shame on me now,red
Flew me to places I'd never been,red
Now I'm lying on the cold hard ground,red
"Oh, oh, trouble, trouble, trouble",red
"Oh, oh, trouble, trouble, trouble",red
"No apologies, he'll never see you cry",red
Pretend he doesn't know that he's the reason why,red
"You're drowning, you're drowning, you're drowning",red
Now I heard you moved on from whispers on the street,red
A new notch in your belt is all I'll ever be,red
"And now I see, now I see, now I see",red
He was long gone when he met me,red
"And I realize the joke is on me, yeah!",red
I knew you were trouble when you walked in,red
So shame on me now,red
Flew me to places I'd never been,red
"'Til you put me down, oh",red
I knew you were trouble when you walked in,red
So shame on me now,red
Flew me to places I'd never been,red
Now I'm lying on the cold hard ground,red
"Oh, oh, trouble, trouble, trouble",red
"Oh, oh, trouble, trouble, trouble",red
And the saddest fear comes creeping in,red
"That you never loved me or her, or anyone, or anything, yeah",red
I knew you were trouble when you walked in,red
So shame on me now,red
Flew me to places I'd never been,red
"'Til you put me down, oh",red
I knew you were trouble when you walked in,red
"(you were right there, you were right there)",red
So shame on me now,red
Flew me to places I'd never been,red
Now I'm lying on the cold hard ground,red
"Oh, oh, trouble, trouble, trouble",red
"Oh, oh, trouble, trouble, trouble",red
I knew you were trouble when you walked in,red
"Trouble, trouble, trouble",red
I knew you were trouble when you walked in,red
"Trouble, trouble, trouble",red
"Vintage tee, brand new phone",
High heels on cobblestones,
"When you are young, they assume you know nothing",
"Sequined smile, black lipstick",
Sensual politics,
"When you are young, they assume you know nothing",
But I knew you,
Dancin' in your Levi's,
"Drunk under a streetlight, I",
I knew you,
Hand under my sweatshirt,
"Baby, kiss it better, I",
And when I felt like I was an old cardigan,
Under someone's bed,folklore
You put me on and said I was your favorite,folklore
A friend to all is a friend to none,folklore
"Chase two girls, lose the one",folklore
"When you are young, they assume you know nothing",folklore
But I knew you,folklore
Playing hide-and-seek and,folklore
"Giving me your weekends, I",folklore
I knew you,folklore
Your heartbeat on the High Line,folklore
"Once in twenty lifetimes, I",folklore
And when I felt like I was an old cardigan,folklore
Under someone's bed,folklore
You put me on and said I was your favorite,folklore
To kiss in cars and downtown bars,folklore
Was all we needed,folklore
You drew stars around my scars,folklore
But now I'm bleedin',folklore
'Cause I knew you,folklore
Steppin' on the last train,folklore
"Marked me like a bloodstain, I",folklore
I knew you,folklore
Tried to change the ending,folklore
"Peter losing Wendy, I",folklore
I knew you,folklore
Leavin' like a father,folklore
"Running like water, I",folklore
"And when you are young, they assume you know nothing",folklore
But I knew you'd linger like a tattoo kiss,folklore
I knew you'd haunt all of my what-ifs,folklore
The smell of smoke would hang around this long,folklore
'Cause I knew everything when I was young,folklore
I knew I'd curse you for the longest time,folklore
Chasin' shadows in the grocery line,folklore
I knew you'd miss me once the thrill expired,folklore
And you'd be standin' in my front porch light,folklore
And I knew you'd come back to me,folklore
You'd come back to me,folklore
And you'd come back to me,folklore
And you'd come back,folklore
And when I felt like I was an old cardigan,folklore
Under someone's bed,folklore
You put me on and said I was your favorite,folklore
"And it's a sad picture, the final blow hits you",fearless
Somebody else gets what you wanted again,fearless
"You know it's all the same, another time and place",fearless
Repeating history and you're getting sick of it,fearless
But I believe in whatever you do,fearless
And I'll do anything to see it through,fearless
"Because these things will change, can you feel it now?",fearless
These walls that they put up to hold us back will fall down,fearless
"It's a revolution, the time will come for us to finally win",fearless
We sing hallelujah,fearless
We sing hallelujah,fearless
"So we've been outnumbered, raided and now cornered",fearless
It's hard to fight when the fight ain't fair,fearless
"We're getting stronger now, find things they never found",fearless
"They might be bigger, but we're faster and never scared",fearless
"You can walk away, say we don't need this",fearless
But there's something in your eyes says we can beat this,fearless
"'Cause these things will change, can you feel it now?",fearless
These walls that they put up to hold us back will fall down,fearless
"It's a revolution, the time will come for us to finally win",fearless
We sing hallelujah,fearless
We sing hallelujah,fearless
"Tonight we'll stand, get off our knees",fearless
Fight for what we've worked for all these years,fearless
"And the battle was long, it's the fight of our lives",fearless
But we'll stand up champions tonight,fearless
"It was the night things changed, do you see it now?",fearless
These walls that they put up to hold us back fell down,fearless
"It's a revolution, throw your hands up 'cause we never gave in",fearless
and we'll sing hallelujah,fearless
We sang hallelujah,fearless
Hallelujah,fearless
The drought was the very worst,1989
"(Ahh, ahh)",1989
When the flowers that we'd grown together died of thirst,1989
"It was months, and months of back and forth",1989
"(Ahh, ahh)",1989
You're still all over me like a wine-stained dress I can't wear anymore,1989
"Hung my head, as I lost the war",1989
And the sky turned black like a perfect storm,1989
The rain came pouring down when I was drowning,1989
That's when I could finally breathe,1989
And by morning,1989
Gone was any trace of you,1989
I think I am finally clean,1989
There was nothing left to do,1989
"(Ahh, ahh)",1989
When the butterflies turned to dust that covered my whole room,1989
So I punched a hole in the roof,1989
"(Ahh, ahh)",1989
Let the flood carry away all my pictures of you,1989
The water filled my lungs,1989
I screamed so loud but no one heard a thing,1989
The rain came pouring down when I was drowning,1989
That's when I could finally breathe,1989
And by morning,1989
Gone was any trace of you,1989
I think I am finally clean,1989
I think I am finally clean,1989
"(Ahhhhh, ahh)",1989
"Said, I think I am finally clean",1989
(Ahhhhh),1989
"Ten months sober, I must admit",1989
"Just because you're clean, don't mean you don't miss it",1989
"Ten months older, I won't give in",1989
Now that I'm clean I'm never gonna risk it,1989
The drought was the very worst,1989
"(Ahh, ahh)",1989
When the flowers that we'd grown together died of thirst,1989
The rain came pouring down when I was drowning,1989
That's when I could finally breathe,1989
And by morning,1989
Gone was any trace of you,1989
I think I am finally clean,1989
Rain came pouring down when I was drowning,1989
That's when I could finally breathe,1989
And by morning,1989
Gone was any trace of you,1989
I think I am finally clean,1989
Finally clean,1989
Think I'm finally clean,1989
"(Ahh, ahh)",1989
Think I'm finally clean,1989
You have a way of coming easily to me,taylor swift
"And when you take, you take the very best of me",taylor swift
So I start a fight 'cause I need to feel something,taylor swift
And you do what you want 'cause I'm not what you wanted,taylor swift
"Oh, what a shame",taylor swift
What a rainy ending given to a perfect day,taylor swift
Just walk away,taylor swift
No use defending words that you will never say,taylor swift
And now that I'm sitting here thinking it through,taylor swift
I've never been anywhere cold as you,taylor swift
You put up walls and paint them all a shade of gray,taylor swift
And I stood there loving you and washed them all away,taylor swift
And you come away with a great little story,taylor swift
Of a mess of a dreamer with the nerve to adore you,taylor swift
"Oh, what a shame",taylor swift
What a rainy ending given to a perfect day,taylor swift
Just walk away,taylor swift
No use defending words that you will never say,taylor swift
And now that I'm sitting here thinkin' it through,taylor swift
I've never been anywhere cold as you,taylor swift
"You never did give a damn thing, honey",taylor swift
"But I cried, cried for you",taylor swift
And I know you wouldn't have told nobody,taylor swift
"If I died, died for you, died for you",taylor swift
"Oh, what a shame",taylor swift
What a rainy ending give to a perfect day,taylor swift
Every smile you fake is so condescending,taylor swift
Counted all the scars you made,taylor swift
Now that I'm sitting her thinking it through.,taylor swift
I've never been anywhere cold as you,taylor swift
You said it in a simple way,red
"4 AM, the second day",red
How strange that I don't know you at all,red
Stumbled through the long goodbye,red
One last kiss then catch your flight,red
Right when I was just about to fall,red
I told myself don't get attached,red
But in my mind I play it back,red
Spinning faster than the plane that took you,red
And this is when the feeling sinks in,red
I don't wanna miss you like this,red
"Come back, be here",red
I guess you're in New York today,red
I don't wanna need you this way,red
"Come back, be here",red
The delicate beginning rush,red
The feeling you can know so much,red
Without knowing anything at all,red
And now that I can put this down,red
If I had known what I'd known now,red
I never would have played so nonchalant,red
Taxi cabs and busy streets,red
That never bring you back to me,red
I can't help but wish you took me with you,red
And this is when the feeling sinks in,red
I don't wanna miss you like this,red
"Come back, be here",red
I guess you're in London today,red
And I don't wanna need you this way,red
"Come back, be here",red
This is falling in love in the cruelest way,red
This is falling for you & you are worlds away,red
"New York, be here",red
But you're in London & I break down,red
'Cause it's not fair that you're not around,red
This is when the feeling sinks in,red
I don't wanna miss you like this,red
"Come back, be here",red
I guess you're in New York today,red
And I don't wanna need you this way,red
"Come back, be here",red
I don't wanna miss you like this,red
"Come back, be here",red
I could go back to every laugh,fearless
But I don't wanna go there anymore,fearless
And I know all the steps up to your door,fearless
But I don't wanna go there anymore,fearless
Talk to the wind,fearless
Talk to the sky,fearless
Talk to the man with the reasons why,fearless
And let me know what you find,fearless
I'll leave my window open,fearless
'Cause I'm too tired tonight to call your name,fearless
Just know I'm right here hopin',fearless
That you'll come in with the rain,fearless
I could stand up & sing you a song,fearless
But I don't wanna have to go that far,fearless
"And I, I've got you down, I know you by heart",fearless
And you don't even know where I start,fearless
Talk to yourself,fearless
Talk to the tears,fearless
Talk to the man who put you here,fearless
And don't wait for the sky to clear,fearless
I'll leave my window open,fearless
'Cause I'm too tired tonight to call your name,fearless
Just know I'm right here hopin',fearless
That you'll come in with the rain,fearless
...,fearless
"I've watched you so long, screamed your name",fearless
I don't know what else I can say,fearless
And I'll leave my window open,fearless
'Cause I'm too tired tonight for all these games,fearless
Just know I'm right here hopin',fearless
That you'll come in with the rain,fearless
I could go back to every laugh,fearless
But I don't wanna go there anymore,fearless
We were in the backseat,lover
Drunk on something stronger than the drinks in the bar,lover
"""I rent a place on Cornelia Street""",lover
I said casually in the car,lover
We were a fresh page on the desk,lover
Filling in the blanks as we go,lover
As if the street lights pointed in an arrow head,lover
Leading us home,lover
"I hope I never lose you, hope it never ends",lover
I'd never walk Cornelia Street again,lover
That's the kinda heartbreak time could never mend,lover
I'd never walk Cornelia Street again,lover
"And baby, I get mystified by how this city screams your name",lover
"And baby, I'm so terrified of if you ever walk away",lover
I'd never walk Cornelia Street again,lover
I'd never walk Cornelia Street again,lover
"Windows swung right open, autumn air",lover
Jacket 'round my shoulders is yours,lover
We bless the rains on Cornelia Street,lover
Memorize the creaks in the floor,lover
"Back when we were card sharks, playing games",lover
I thought you were leading me on,lover
"I packed my bags, left Cornelia Street",lover
Before you even knew I was gone,lover
"But then you called, showed your hand",lover
I turned around before I hit the tunnel,lover
"Sat on the roof, you and I",lover
"I hope I never lose you, hope it never ends",lover
I'd never walk Cornelia Street again,lover
That's the kinda heartbreak time could never mend,lover
I'd never walk Cornelia Street again,lover
"And baby, I get mystified by how this city screams your name",lover
"And baby, I'm so terrified of if you ever walk away",lover
I'd never walk Cornelia Street again,lover
I'd never walk Cornelia Street again,lover
You hold my hand on the street,lover
Walk me back to that apartment,lover
"Years ago, we were just inside",lover
Barefoot in the kitchen,lover
Sacred new beginnings,lover
"That became my religion, listen",lover
I hope I never lose you,lover
I'd never walk Cornelia Street again,lover
"Oh, never again",lover
"And baby, I get mystified by how this city screams your name",lover
"And baby, I'm so terrified of if you ever walk away",lover
I'd never walk Cornelia Street again,lover
I'd never walk Cornelia Street again,lover
I don't wanna lose you (Hope it never ends),lover
I'd never walk Cornelia Street again,lover
I don't wanna lose you (Yeah),lover
"""I rent a place on Cornelia Street""",lover
I said casually in the car,lover
Fever dream high in the quiet of the night,lover
"You know that I caught it (Oh yeah, you're right, I want it)",lover
"Bad, bad boy, shiny toy with a price",lover
"You know that I bought it (Oh yeah, you're right, I want it)",lover
"Killing me slow, out the window",lover
I'm always waiting for you to be waiting below,lover
"Devils roll the dice, angels roll their eyes",lover
What doesn't kill me makes me want you more,lover
"And it's new, the shape of your body",lover
"It's blue, the feeling I've got",lover
"And it's ooh, whoa oh",lover
It's a cruel summer,lover
"It's cool, that's what I tell 'em",lover
"No rules, unbreakable heaven",lover
"But ooh, whoa oh",lover
It's a cruel summer,lover
With you,lover
Hang your head low in the glow of the vending machine,lover
"I'm not buying (Oh yeah, you're right, I want it)",lover
You say that we'll just screw it up in these trying times,lover
"We're not trying (Oh yeah, you're right, I want it)",lover
"So cut the headlights, summer's a knife",lover
I'm always waiting for you just to cut to the bone,lover
"Devils roll the dice, angels roll their eyes",lover
"And if I bleed, you'll be the last to know",lover
"Oh, it's new, the shape of your body",lover
"It's blue, the feeling I've got",lover
"And it's ooh, whoa oh",lover
It's a cruel summer,lover
"It's cool, that's what I tell 'em",lover
"No rules, unbreakable heaven",lover
"But ooh, whoa oh",lover
It's a cruel summer,lover
With you,lover
I'm drunk in the back of the car,lover
And I cried like a baby coming home from the bar (Oh),lover
"Said I'm fine, but it wasn't true",lover
I don't wanna keep secrets just to keep you,lover
And I snuck in through the garden gate,lover
Every night that summer just to seal my fate (Oh),lover
And I screamed for whatever it's worth,lover
"""I love you,"" ain't that the worst thing you ever heard?",lover
He looks so pretty like a devil,lover
"And it's new, the shape of your body",lover
"It's blue, the feeling I've got",lover
"And it's ooh, whoa oh",lover
It's a cruel summer,lover
"It's cool, that's what I tell 'em",lover
"No rules, unbreakable heaven",lover
"But ooh, whoa oh",lover
It's a cruel summer,lover
With you,lover
I'm drunk in the back of the car,lover
And I cried like a baby coming home from the bar (Oh),lover
"Said I'm fine, but it wasn't true",lover
I don't wanna keep secrets just to keep you,lover
And I snuck in through the garden gate,lover
Every night that summer just to seal my fate (Oh),lover
And I screamed for whatever it's worth,lover
"""I love you,"" ain't that the worst thing you ever heard?",lover
"(Yeah, yeah, yeah, yeah)",lover
"I, I loved you in secret",reputation
"First sight, yeah, we love without reason",reputation
"Oh, twenty-five years old",reputation
"Oh, how were you to know, and",reputation
"My, my love had been frozen",reputation
"Deep blue, but you painted me golden",reputation
"Oh, and you held me close",reputation
"Oh, how was I to know that",reputation
I could've spent forever with your hands in my pockets,reputation
Picture of your face in an invisible locket,reputation
You said there was nothing in the world that could stop it,reputation
I had a bad feeling,reputation
"And darling, you had turned my bed into a sacred oasis",reputation
"People started talking, putting us through our paces",reputation
I knew there was no one in the world who could take it,reputation
I had a bad feeling,reputation
But we were dancing,reputation
"Dancing with our hands tied, hands tied",reputation
"Yeah, we were dancing",reputation
"Like it was the first time, first time",reputation
"Yeah, we were dancing",reputation
"Dancing with our hands tied, hands tied",reputation
"Yeah, we were dancing",reputation
And I had a bad feeling,reputation
But we were dancing,reputation
"I, I loved you in spite of",reputation
Deep fears that the world would divide us,reputation
"So, baby, can we dance",reputation
"Oh, through an avalanche?",reputation
"And say, say that we got it",reputation
"I'm a mess, but I'm the mess that you wanted",reputation
"Oh, 'cause it's gravity",reputation
"Oh, keeping you with me",reputation
I could've spent forever with your hands in my pockets,reputation
Picture of your face in an invisible locket,reputation
You said there was nothing in the world that could stop it,reputation
I had a bad feeling,reputation
But we were dancing,reputation
"Dancing with our hands tied, hands tied",reputation
"Yeah, we were dancing",reputation
"Like it was the first time, first time",reputation
"Yeah, we were dancing",reputation
"Dancing with our hands tied, hands tied",reputation
